image_name,piece_0_0,piece_0_1,piece_0_2,piece_0_3,piece_0_4,piece_1_0,piece_1_1,piece_1_2,piece_1_3,piece_1_4,piece_2_0,piece_2_1,piece_2_2,piece_2_3,piece_2_4,piece_3_0,piece_3_1,piece_3_2,piece_3_3,piece_3_4,piece_4_0,piece_4_1,piece_4_2,piece_4_3,piece_4_4
0.jpg,"(0, 3)","(0, 2)","(1, 1)","(3, 0)","(2, 1)","(1, 2)","(0, 0)","(3, 1)","(4, 2)","(1, 0)","(1, 2)","(0, 0)","(3, 1)","(4, 2)","(1, 0)","(4, 3)","(0, 1)","(3, 2)","(0, 0)","(4, 4)","(0, 0)","(2, 0)","(1, 3)","(3, 4)","(2, 4)"
1.jpg,"(3, 4)","(0, 1)","(0, 3)","(2, 1)","(4, 1)","(1, 2)","(1, 1)","(4, 0)","(0, 0)","(3, 3)","(1, 2)","(1, 1)","(4, 0)","(0, 0)","(3, 3)","(0, 0)","(0, 0)","(2, 4)","(0, 0)","(3, 2)","(4, 4)","(0, 0)","(0, 2)","(2, 3)","(1, 4)"
2.jpg,"(4, 4)","(0, 2)","(1, 2)","(0, 4)","(4, 0)","(2, 1)","(2, 2)","(0, 0)","(1, 0)","(4, 1)","(2, 1)","(2, 2)","(0, 0)","(1, 0)","(4, 1)","(3, 4)","(1, 3)","(3, 2)","(0, 1)","(1, 4)","(2, 3)","(4, 3)","(2, 0)","(4, 2)","(0, 0)"
3.jpg,"(2, 0)","(0, 1)","(0, 4)","(3, 4)","(2, 3)","(1, 1)","(1, 2)","(3, 3)","(0, 3)","(0, 2)","(1, 1)","(1, 2)","(3, 3)","(0, 3)","(0, 2)","(4, 3)","(1, 0)","(0, 0)","(3, 1)","(4, 4)","(4, 2)","(0, 0)","(3, 0)","(0, 3)","(1, 4)"
4.jpg,"(1, 0)","(2, 3)","(4, 4)","(3, 1)","(1, 2)","(4, 2)","(4, 3)","(3, 0)","(0, 0)","(1, 1)","(4, 2)","(4, 3)","(3, 0)","(0, 0)","(1, 1)","(4, 0)","(0, 1)","(2, 2)","(2, 0)","(0, 3)","(2, 1)","(2, 4)","(0, 0)","(1, 3)","(3, 3)"
5.jpg,"(2, 3)","(4, 3)","(2, 2)","(0, 1)","(0, 0)","(3, 0)","(3, 3)","(1, 1)","(4, 1)","(4, 2)","(3, 0)","(3, 3)","(1, 1)","(4, 1)","(4, 2)","(1, 4)","(1, 0)","(0, 3)","(0, 0)","(1, 2)","(2, 0)","(1, 3)","(0, 2)","(2, 4)","(2, 1)"
6.jpg,"(4, 0)","(3, 0)","(4, 2)","(4, 4)","(3, 2)","(3, 4)","(0, 0)","(2, 4)","(1, 2)","(1, 1)","(3, 4)","(0, 0)","(2, 4)","(1, 2)","(1, 1)","(3, 3)","(4, 1)","(0, 3)","(0, 4)","(0, 1)","(0, 2)","(1, 3)","(2, 0)","(2, 3)","(1, 0)"
7.jpg,"(0, 2)","(3, 0)","(1, 4)","(2, 0)","(0, 4)","(4, 4)","(1, 2)","(0, 0)","(0, 0)","(0, 1)","(4, 4)","(1, 2)","(0, 0)","(0, 0)","(0, 1)","(2, 3)","(4, 1)","(3, 3)","(1, 3)","(3, 1)","(4, 3)","(2, 4)","(3, 2)","(1, 0)","(2, 2)"
8.jpg,"(0, 2)","(0, 0)","(4, 3)","(2, 0)","(1, 0)","(0, 3)","(3, 1)","(2, 3)","(3, 4)","(1, 2)","(0, 3)","(3, 1)","(2, 3)","(3, 4)","(1, 2)","(4, 0)","(4, 1)","(0, 1)","(2, 2)","(0, 4)","(4, 4)","(4, 2)","(1, 3)","(1, 1)","(3, 0)"
9.jpg,"(0, 4)","(3, 1)","(1, 1)","(3, 0)","(0, 2)","(1, 0)","(4, 3)","(2, 2)","(0, 0)","(0, 0)","(1, 0)","(4, 3)","(2, 2)","(0, 0)","(0, 0)","(4, 0)","(1, 2)","(3, 2)","(0, 3)","(1, 3)","(0, 1)","(2, 0)","(3, 3)","(4, 1)","(3, 4)"
